m.ref,spec.r,group.r,date,month,year,latwgs84,longwgs84,sex,age.r
M572/99,Atlantic white-sided dolphin,Pelagic Dolphins,26/07/1999,7,1999,57.01821518,-7.439803123,M,adult
M563/99,Harbour porpoise,Harbour porpoise,29/07/1999,7,1999,56.70302963,-2.458874226,M,adult
M565/99,Harbour porpoise,Harbour porpoise,01/08/1999,8,1999,56.51729965,-5.363163948,F,adult
M571/99,Harbour porpoise,Harbour porpoise,02/08/1999,8,1999,57.29150772,-7.415401459,U,unknown
M575/99,Harbour porpoise,Harbour porpoise,10/08/1999,8,1999,57.14314651,-2.071026802,F,adult
M576/99,Harbour porpoise,Harbour porpoise,12/08/1999,8,1999,54.84145355,-3.854608774,F,adult
M580/99,Harbour porpoise,Harbour porpoise,14/08/1999,8,1999,57.71967697,-3.28083539,M,juvenile
M585/99,Harbour porpoise,Harbour porpoise,19/08/1999,8,1999,57.66455841,-3.019075632,F,juvenile
M579/99,Minke whale,Baleen Whales,20/08/1999,8,1999,57.68357849,-2.737853289,F,juvenile
M589/99,Harbour porpoise,Harbour porpoise,23/08/1999,8,1999,56.28699493,-6.245031834,M,juvenile
M591/99,Bottlenose dolphin,Pelagic Dolphins,26/08/1999,8,1999,57.67056656,-2.44756341,M,adult
M599/99,Harbour porpoise,Harbour porpoise,27/08/1999,8,1999,59.1529808,-2.739513874,U,unknown
M630/99,Minke whale,Baleen Whales,30/08/1999,8,1999,56.31251907,-6.440427303,U,unknown
M600/99,Atlantic white-sided dolphin,Pelagic Dolphins,10/09/1999,9,1999,58.82423019,-2.888368845,M,adult
M596/99,Short-beaked common dolphin,Common Dolphin,13/09/1999,9,1999,56.36381912,-2.883744717,F,juvenile
M604/99,Harbour porpoise,Harbour porpoise,24/09/1999,9,1999,57.26411438,-5.928789139,M,adult
M670/99,White-beaked dolphin,Pelagic Dolphins,26/09/1999,9,1999,59.12499619,-3.322420597,M,neonate
M610/99,Harbour porpoise,Harbour porpoise,02/10/1999,10,1999,55.5537529,-4.65861702,M,adult
M615/99,Harbour porpoise,Harbour porpoise,08/10/1999,10,1999,57.70519638,-3.4565413,M,adult
